                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10852,                0.15014,               0.035388,                0.07875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10382,               0.055806,               0.019879,               0.076472,               0.070448,              0.0032836,              0.0032836
                      1,                0.10732,                0.12361,               0.035771,               0.078194,             0.00023578,              0.0049082,             0.00012084,             2.1806e-05,             1.8376e-05,             0.00050505,              9.391e-06,             1.8782e-06,                0.10623,                0.55028,                0.10196,               0.096073,               0.040426,              0.0065951,              0.0065951
                      2,                0.10634,                0.11092,                0.03515,                0.07813,              0.0009753,               0.030902,             0.00053675,             0.00015129,              0.0003835,              0.0044083,             0.00011386,             1.6551e-05,                    nan,                    nan,                    nan,                0.64472,               0.010382,              0.0098846,              0.0098846
                      3,                0.10164,                0.08717,               0.035108,               0.076903,             6.9599e-05,              0.0080034,             3.6983e-05,             1.2814e-05,                3.5e-05,              0.0034943,              1.822e-05,             3.6639e-06,                    nan,               0.096054,                    nan,                0.39989,               0.009901,               0.009901,               0.009901
                      4,               0.093068,               0.072356,               0.033944,               0.075519,             0.00090567,               0.021412,             0.00052868,             0.00015889,              0.0004877,               0.010771,              0.0002721,             6.1115e-05,               0.095818,               0.057438,               0.014044,               0.080013,               0.009901,               0.009901,               0.009901
                      5,               0.090655,               0.068228,               0.031799,               0.073909,             0.00071775,              0.0073494,             0.00043604,             0.00012659,             0.00058811,              0.0062419,              0.0003443,              8.622e-05,               0.093017,               0.049688,               0.014308,                0.07334,               0.009868,               0.009868,               0.009868
                      6,                    nan,               0.067862,                    nan,               0.072371,             1.5953e-05,              0.0087696,             2.3468e-05,             5.2158e-06,             1.6668e-05,              0.0091623,               2.44e-05,             4.0841e-06,               0.092737,               0.048335,               0.014682,               0.072418,               0.009835,               0.009835,               0.009835
                      7,               0.088791,               0.066284,               0.031762,               0.071517,              0.0025926,                0.18198,              0.0040543,              0.0012365,              0.0021912,                0.13526,              0.0022079,             0.00048535,               0.091386,               0.047748,               0.016127,               0.072015,               0.009802,               0.009802,               0.009802
                      8,               0.086455,               0.066631,               0.032763,               0.070365,              0.0036443,                0.30831,              0.0052657,              0.0013771,              0.0024913,                0.21648,              0.0031622,             0.00069289,               0.089689,               0.048002,                0.01909,               0.071888,               0.009769,               0.009769,               0.009769
                      9,               0.082882,               0.064615,               0.033883,               0.070554,              0.0015948,                0.16586,              0.0015152,             0.00036699,              0.0012309,                0.13725,              0.0013106,             0.00024413,               0.091012,                0.05042,               0.020516,               0.071572,               0.009736,               0.009736,               0.009736
                     10,               0.080043,               0.063121,               0.034549,               0.070365,              0.0022374,                0.20056,              0.0017694,             0.00046985,              0.0022617,                0.17372,              0.0026785,             0.00064532,               0.086719,               0.045751,               0.016806,               0.070481,               0.009703,               0.009703,               0.009703
                     11,               0.077785,               0.063192,               0.034728,               0.070142,              0.0012278,                0.13498,             0.00081008,              0.0002184,              0.0012693,                0.13265,              0.0008084,             0.00022369,               0.086763,                0.04749,               0.018169,               0.070699,                0.00967,                0.00967,                0.00967
                     12,               0.076039,               0.062599,               0.034633,               0.069229,               0.002115,                0.24618,              0.0026859,             0.00084874,              0.0020048,                0.22623,              0.0025871,             0.00087807,               0.081903,               0.045934,               0.017563,               0.070307,               0.009637,               0.009637,               0.009637
                     13,               0.072789,               0.059851,               0.034325,                 0.0687,              0.0037369,                0.39763,              0.0067177,              0.0020265,              0.0033284,                0.34844,              0.0059653,              0.0018371,               0.078469,               0.044776,               0.016642,               0.069893,               0.009604,               0.009604,               0.009604
                     14,               0.071213,               0.060019,               0.034567,               0.069284,              0.0025541,                0.37287,              0.0070227,              0.0020418,              0.0024443,                0.35874,               0.008971,              0.0027401,               0.077622,               0.042828,               0.016508,               0.069261,               0.009571,               0.009571,               0.009571
