                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10984,                0.11136,               0.034247,               0.077616,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10187,               0.055875,                0.01914,               0.076469,                 0.0865,                 0.0015,                 0.0015
                      1,                0.09848,               0.074765,               0.035093,               0.076527,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.095153,               0.054332,               0.018219,               0.076101,                0.07209,              0.0030898,              0.0030898
                      2,               0.083831,               0.051272,               0.036778,               0.075313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.094628,               0.052797,               0.017981,               0.075613,               0.057669,               0.004669,               0.004669
                      3,               0.075718,               0.044466,               0.036973,               0.073486,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.093882,               0.051379,               0.014488,               0.075138,               0.043238,              0.0062376,              0.0062376
                      4,               0.069645,               0.042547,               0.035155,               0.071194,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.089376,               0.046439,               0.013319,               0.074303,               0.028796,              0.0077957,              0.0077957
                      5,               0.065667,               0.040925,               0.033184,               0.069068,               0.066667,              0.0030925,               0.034147,               0.013969,               0.051515,              0.0028956,                0.02632,               0.014705,               0.084214,               0.042213,               0.014373,               0.073313,               0.014343,              0.0093433,              0.0093433
                      6,                0.06319,               0.040783,               0.031966,               0.066417,               0.004335,                0.17385,               0.011873,              0.0047106,              0.0050014,                0.19798,               0.013822,              0.0067575,               0.076972,               0.039993,                0.01541,               0.070274,               0.009802,               0.009802,               0.009802
                      7,               0.059841,               0.041629,               0.031894,               0.066066,               0.024998,               0.064768,               0.012679,              0.0044046,                0.15719,               0.042369,               0.014436,              0.0066949,               0.068632,               0.035283,               0.015898,               0.068529,               0.009802,               0.009802,               0.009802
                      8,               0.058961,               0.041077,               0.031004,               0.063759,                0.28682,               0.070645,               0.038531,               0.013818,                0.29505,               0.081627,               0.045172,                0.01803,               0.068607,               0.036556,               0.019635,               0.066488,               0.009769,               0.009769,               0.009769
                      9,               0.056801,               0.039377,               0.030133,                0.06198,                 0.2831,                0.11181,               0.065226,               0.020943,                0.36485,                 0.1071,               0.067273,               0.025869,               0.068082,               0.036373,               0.016862,               0.066153,               0.009736,               0.009736,               0.009736
                     10,               0.056807,               0.039955,               0.029792,               0.061393,                0.42033,               0.095135,               0.060145,               0.021698,                0.42745,               0.096255,               0.064544,               0.025004,               0.068132,                0.04077,               0.015243,               0.064848,               0.009703,               0.009703,               0.009703
                     11,               0.053781,               0.036731,               0.028644,               0.058949,                0.31858,                0.15197,               0.083993,               0.027724,                0.33778,                0.15719,               0.092981,               0.038511,               0.065786,               0.036235,               0.015784,               0.063932,                0.00967,                0.00967,                0.00967
                     12,                0.05524,               0.036877,               0.028178,               0.056661,                0.29595,                0.14067,                0.10206,               0.039588,                0.29743,                0.14004,                0.10101,               0.048031,               0.062824,               0.032139,                0.01542,                 0.0613,               0.009637,               0.009637,               0.009637
                     13,               0.052461,               0.036555,               0.028103,               0.054716,                0.23892,                0.21038,                0.15619,               0.066285,                0.28256,                0.20378,                0.14966,               0.065358,               0.061573,               0.034239,               0.015538,               0.060055,               0.009604,               0.009604,               0.009604
                     14,               0.052225,                0.03532,                0.02761,               0.053092,                0.23671,                0.15021,               0.091378,               0.035745,                0.22858,                0.14037,               0.081433,               0.033292,               0.065398,               0.042532,                0.01591,               0.060493,               0.009571,               0.009571,               0.009571
                     15,               0.051429,               0.036657,               0.027529,               0.051339,                0.19439,                 0.2028,                0.11543,               0.046213,                0.23954,                0.18928,                0.11292,               0.051961,               0.062796,               0.036899,               0.015822,               0.057152,               0.009538,               0.009538,               0.009538
